voiture_seul.e,jamais_avion,pret,vtms_second_main,vrac,produits_locaux,eteindre,baisse_temperature,vegetalien,linge,voiture_seul.e_qual,jamais_avion_qual,pret_qual,vtms_second_main_qual,vrac_qual,produits_locaux_qual,eteindre_qual,baisse_temperature_qual,vegetalien_qual,linge_qual,voiture_seul.e_texte,jamais_avion_texte,pret_texte,vtms_second_main_texte,vrac_texte,produits_locaux_texte,eteindre_texte,baisse_temperature_texte,vegetalien_texte,linge_texte,age,situation,residence,travail
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",3,5,0,3,3,3,3,1,5,1,"Mes horaires de trajets sont assez précis et souvent il m'est impossible de m'adapter aux horaires des gens avec qui je pourrait faire du covoiturage. Etant en prépa, j'ai un emploi du temps assez restreint et être indépendant me permet de gérer mes trajets au mieux pour moi. Maintenant je ne suis pas du tout fermé à ça au contraire, et quand j'aurai plus de flexibilité là dessus ça sera avec plaisir et plus de régularité que je le ferai ","Sans pour autant voyager 4 fois par an à 8 000 km de chez soi, ce qui fait un gros impact écologique, voyager reste important pour notre culture, pour nos loisirs, alors ne plus partir du tout me paraît difficilement réalisable. Maintenant, il est possible de partir à l'étranger et découvrir sans prendre l'avion, mais selon moi (j'ai pas assez d'éléments pour être sûr de ce que j'avance) faire 3h d'avion avec 250 autres passagers n'est pas si énorme devant 8h de trajet en voiture individuelles","Habitant à la campagne, il m'est facile de trouver dans mon voisinage des personnes qui possèdent les outils dont j'ai besoin occasionnellement. Le système de prêt est très avantageux, ça permet de réduire la consommation, réduire les coûts ainsi que les déplacements. C'est tout bénef","Ce n'est pas dans mes habitudes, c'est dommage je le concède. J'ai besoin de me sentir bien et confiant dans ma peau, et pour cela porter des habits que je trouve beaux et qui me mettent en valeur. Porter du seconde main ne me dérange pas, si je trouve quelque chose qui me plaît. Ma mère l'a eu fait pour moi étant plus jeune, mais maintenant je trouve ça plus difficile.","Le système de vrac est très intéressant, apporter mes propres emballages n'est pas si contraignant, et pour moi la réduction des emballages plastiques et jetables doit vraiment se faire, car c'est selon moi une des plus grosses plaies. Maintenant si les choix manquent, il peut arriver que le vrac atteigne ses limites","Les habitudes alimentaires sont très dures à modifier, surtout en étant étudiant je trouve. Manque de temps, d'argent et d'énergie pour changer profondément ce type d'habitude. Pour les produits qui peuvent venir de France, de zones proches (donc hors banane, avocats etc...) je privilégie fortement les produits locaux et de saison, car ils sont de meilleure qualité et leur production moins impactante sur l'environnement","Certains appareils sont parfois difficiles à éteindre complètement, et s'ils peuvent l'être, parfois difficiles à relancer. J'essaie de laisser le moins de choses possibles en veille quitte à débrancher carrément. Ca permet aussi de réduire un peu la facture d'électricité","De toute façon j'ai toujours chaud, et je préfère mettre un pull dans une pièce plus froide que de vivre dans une pièce très chauffée. Apparemment c'est aussi meilleur pour la santé donc c'est super: De la même manière que précédemment, ça peut aussi réduire les coûts","Il me semble que le strictement végétal n'est pas forcément moins impactant que de la viande venant d'un élevage raisonné et bien géré. Dans les deux productions les impacts environnementaux peuvent être énormes, il s'agit simplement de sélectionner des produits de qualité qui sont le moins nocifs pour l'environnement, que ce soit viande ou végétal. De plus, le strictement végétal impose de nombreuses contraintes car certains produits animaux comme les oeufs ou le lait sont présents dans énormément de recettes. Enfin j'ai l'idée (je peux me tromper) qu'un régime strictement végétal se constitue pour être complet d'aliments moins facilement cultivés en france, plus contraignants à cultiver, pouvant être issus de l'importation donc présentant aussi des impacts","En ayant un minimum d'organisation, sécher à l'air libre est la meilleure solution et n'est pas si dur à mettre en place. Aucune énergie n'est utilisée, aucun coût, seulement du temps. Cela ne m'empêche pas d'utiliser le sèche linge si c'est vraiment nécessaire, par temps vraiment humide ou si le temps me manque",18,3,Principalement rural,Etudiant
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",3,4,2,4,1,2,0,1,4,0,"Réduction de la pollution, partage des frais, pour une contrainte minime ","Réduire oui, abandonner complètement ça me parait compliqué ",Il faut se déplacer pour l’acheter de toute façon ,"Les habits reflètent notre personnalité, ne pas trouver d’habits qui nous conviennent nous empêchent de nous exprimer et ça me paraît difficile à envisager ",On le fait déjà avec les grands sacs de courses alors pourquoi pas avec des plus petits qui sont aussi réutilisables ,Se passer de certains produits de façon plus ou moins permanentes ne me semble pas impossible ,On pense bien à éteindre la lumière alors pourquoi pas la multiprise ,"On le fait quand on sort, alors on peut le faire à l’intérieur ",Je réduis ma consommation de viande mais l’abandonner ne me semble pas envisageable pour l’instant ,Je le fais déjà ,21,2,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire",4,5,0,2,5,2,4,2,3,5,"Je ne me sers de ma voiture que pour aller en stage et encore selon les lieux de stages je peux y aller à pied, la plupart du temps quand j'y vais en voiture je ne pars pas seule mais quand je suis seule de mon école en stage j'y vais seule, mes horaires correspondent pas à des bus ou autres transports en commun. Et je vais faire mes courses seule dans ma voiture par facilité...","En habitant en Belgique c'est compliqué de ce rendre dans le sud de la France en transports en commun autre que l'avion et encore plus en voiture. Pour une question de temps de trajet 1h30 pour l'avion, 8h pour la voiture, je suis pas persuadée que mon empreinte carbone serait plus faible si je décidais de prendre la voiture plutôt que l'avion. Et pour ce qui est des autres voyages je prends l'avion pour aller en vacances à l'étranger par habitude du confort moderne, je n'ai pas envie de passer à côté de cette chance de pouvoir découvrir le monde","J'ai jusqu'à cette année vécu en communauté (internat, collocation) donc le prêt est quelque chose auquel je suis habitué depuis toujours, alors maintenant que je vis seule et bien je me déplace ","Sachant depuis maintenant quelques années que le prêt à porter, la fast fashion est le premier pollueur mondial, j'ai progressivement arrêté d'acheter déjà des produits de mauvaise qualité qui sont jetés et changés à une vitesse scandaleuse et peu à peu j'en arrive à n'acheter que de la seconde main. Il est tout à fait possible de s'habiller comme on aime en n'achetant que de la seconde main, c'est juste plus de temps et de réflexion. Nous sommes habitués à changer constamment d'habits alors que factuellement nos goûts ne changent pas tellement, il s'agit donc de trouver des vêtements qu'on aimera encore dans 10 ans et qui seront encore en bon état dans 10 ans. ","J'aimerais et j'essaye tant que faire ce peut, mais ça me semble trop contraignant et trop coûteux, d'autant plus que je n'ai encore jamais trouvé d'endroit ou acheter en vrac au alentours de chez moi. Cependant le fait d'éviter le sur emballage et prendre ces propres contenants pour les fruit et légumes n'est pas très contraignant à l'exception de l'oubli par manque d'habitude, et cela ne limite pas trop les choix ","J'habite en Belgique, vraiment personne n'a envie de manger des produits locaux, de plus j'en trouve très peu pour ce qui est des fruits et légumes. Il est peu contraignant pour moi de me passer d'avocat, et autres fruits exotique, ce que je fais à l'exception des bananas, par choix","J'essaye de débrancher les chargeurs et autres car c'est peu contraignant, polluant et il y a un risque que ça prenne feu. Mais le facteur ""y penser"" bloque pour ce qui est de la box internet","J'ai toujours éé habitué à avoir une maison peu chauffée (pour des raisons écologiques) et donc me couvrir plus en fonction de la saison, cela n'était pas très contraignant. Mais chez moi le chauffage est à fond et j'ai quand même 3 pulls sur moi car l'isolation est très mauvaise, je n'y peux pas grand chose à part essayer les jours avec le temps d'ensoleillement pour faire rentrer la chaleur la journée et fermer les volets la nuit. Donc je baisse significativement le chauffage que quand je pars de chez moi
","Pas tout à fait presque tout le temps je ne mange pas de viande mais j'en mange en extérieur... Pour des raisons de praticité et malheureusement j'aime trop la viande pour réussir à m'en passer. Ce constat m'énerve depuis longtemps car je le trouve moindre par rapport au mal fait à la planète pour pouvoir manger de la viande, mais la faiblesse humaine étant ce qu'elle est je n'arrive pas encore à être totalement végétarienne. ","Avec 23 mètres carrés de surface habitable c'est infaisable, l'année dernière je le faisais car j'avais plus de place mais le fais de fumer dans son appartement est quelque peu incompatible au fais de faire sécher son linge dans le salon ",21,3,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",2,3,0,2,0,4,0,0,5,0,Horaire et trajet incompatibles avec un partage,"J'ai de la famille et des amis à l'étranger et si il est possible de changer de mode de déplacement pour se rendre dans des pays limitrophes, c'est plus difficile pour des contraintes de temps, pour des pays éloignés. Je ne suis pas certaine que l'avion une ou deux fois par an ait un impact important sur le climat. ","Plutôt que d'acheter un matériel a bas coût qui servira peut et/ou sera rapidement obsolète ou HS, il est préférable d'avoir un matériel emprunté de bonne qualité, entretenu, durable, et que l'on aura pas  à stocker","Compte tenu de l'ampleur de ma garde robe, je suis en mesure de m'habiller sans avoir besoin d'acheter autre choses que les sous-vêtements
Et les vêtements de seconde main sont de plus en plus nombreux et variés, d'autant qu'ils peuvent être adaptés puisque je sais coudre un minimum.
Et si j'achète neuf, j'essaie de privilégier des filières courtes et fabriquées en France",Facile puisque nous avons plusieurs magasins de proximité qui proposent cette formule du vrac,"Je ne suis pas certaine que la banane qui arrive par bateau ait un impact négatif sur le climat, et pas de problème de se passer d'avocats ou de limiter leur consommation à ceux des pays limitrophes Espagne",Facile à faire et meilleure pour la santé des habitants en raison des ondes éventuelles,Facile à faire,Un régime strictement végétal ne me semble pas adapté aux besoins du corps en fonction de l'âge (petite musculaire a partir d'un certain âge qui ne exiged'être entretenu par des protéines animales au moins comme les oeufs). Il n'existe pas à mon avis de peuple strictement végétalien,Dans la mesure où je vis dans une maison avec jardin ce n'est pas du tout une contrainte,56,4,Principalement citadin,Avec un emploi
"Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire",4,3,3,1,3,2,3,1,1,1,"Partage des frais, éviter les places vides",Ca limite quand même mon désir d'explorer le monde,Ca permet d'avoir moins de choses à stocker aussi,Il y a de tout chez emmaus ou en fripes,j'oublie toujours mes sacs,c'est ok,j'oublie,on est plusieurs à vivre dans le même endroit et ça ne correspond pas à tout le monde,de quel droit fait-on de l'élevage pour tuer les animaux,l'hiver ça prend du temps,25,3,Principalement citadin,En recherche d'emploi
"Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",2,2,1,1,2,1,0,0,4,0,Lorsque je me déplace en voiture c'est soit sur de très courtes distances soit de longues distances mais avec une voiture pleine d'affaires. Donc pas possible pour moi d'instaurer cette habitude.,Je n'ai pris l'avion qu'une fois dans ma vie.,Cette habitude permet d'ailleur d'entretenir un lien social.,C'est beaucoup moins cher que des habits neufs  Et on est tout autant satisfait.,Je n'ai pas un logement me permettant de stocker des emballages.,Généralement meilleure qualité du produit lorsqu'il est local.,Ceci permet aussi de limiter l'usage des appareils.,J'aime me mettre sous la couette chez moi donc ce n'est pas du tout contraignant. ,Je limite ma consommation de viande mais je ne pense pas qu'il faille totalement arrêter la consommation de viande. Peut être changer son mode de consommation journalier en un mode occasionnel.,Ça détend d'étendre son linge et ça l'abîme moins.,19,3,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",4,3,2,1,1,2,5,0,4,0,"Ne pas pouvoir partir quand on veut, ne pas être libre de faire ce que l'on veut en conduisant, devoir respecter des timings","Tout dépend de la durée des vacances : si c'est les vacances sont longues, pourquoi pas d'essayer de ne pas prendre l'avion mais lors de courtes vacances, passer plus de temps dans les transports que sur le lieu de vacances peut être dérangeant","L'état de propreté/hygiène et l'état générale peuvent être un frein à leur utilisation malgré le fait que cela réduit la pollution. Cependant, cela peut être bien si l'état de propreté et l'état général sont corrects et que l'usage ne sera qu'unique","Le style vestimentaire ne m'importe que peu donc ne pas trouver ce qu'il me plaît ne me dérangerait pas. Cependant, aimant voir les habits, faudrait-il que les lieux où les vêtements de seconde main soient proches de chez moi.",La baisse des prix suite à une disparition des emballages est un excellent avantage. Mais cela ne serait utile que si les lieux de ventes n'utilisent pas des petits paquets avec emballages pour remplir les colonnes de ventes des produits en vrac.,Cela empêcherait de faire cette recette donc cela pourrait être dérangeant mais cela permettrait de les apprécier d'autant plus lorsque l'on est dans les pays de production.,"Avec un nombre croissant d'appareils électroménagers et électroniques à nos domiciles, cela impliquerait de passer du temps à les débrancher et à les rebrancher sans compter le fait qu'il faille penser à bien tout rebrancher lorsqu'on veut l'utiliser. De plus, pour les appareils type box qui ont besoin de se réinitialiser à chaque démarrage, cela nécessite du temps et je n'ai pas toujours le temps et/ou l'envie d'attendre.",Je supporte toutes les températures donc baisser la température chez moi m'est égal.,Cela engendre de ne plus manger de viande et de poisson alors que j'aime ça. Je serai plutôt d'accord pour réduire la consommation. La réduction des choix dans les lieux extérieur ne me dérangerait pas vu que de plus en plus d'établissements proposent des plats vegans (sauf si l'on s'alimente tout le temps en cantine scolaire et que cette dernière ne propose pas toujours des plats vegans).,"J'ai l'habitude de laisser mon sèche linge à l'air libre donc pour moi cela est normal. Le sèche linge permet juste de gagner de l'espace (mais qu'on peut récupérer en faisant preuve d'organisation spatiale). (En ce qui concerne le gain de temps, je ne trouve pas cela marquant dans l'utilisation du sèche linge : si le linge n'est pas sec soit on le met dans un endroit pour qu'il sèche plus rapidement soit on change de vêtements)",20,3,Principalement rural,Etudiant
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",5,4,1,2,1,2,2,2,5,1,"S'adapter à l'emploi du temps d'autres personnes n'est pas toujours facile, surtout quand on a des rendez-vous, et autres...
Cela permettrait tout de meme de réduire les émissions sur le climat. Je pourrais l'appliquer mais pas 'jamais'",Cela peut permettre d'aller a l'étranger et de faire certains voyages impossibles sans,"Cela permet de réduire la consommation, pas très contraignant",Cela peut être contraignant mais une bonne chose à faire ,"Je le ferai dans les jours prochains si possible (sauf exception : un produit spécifique, etc...)",Réduit les émissions carbone,"Réduit l'utilisation excessive d'appareils électriques, pas très difficile à mettre en place","Sans avoir trop froid, cela est possible à mettre en place","Impossible pour moi de passer à un régime alimentaire strictement végétal, ce qui n'a pas beaucoup d'effets sur le climat en plus",Je le fais déjà,17,3,Principalement rural,Etudiant
"Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",4,2,0,0,0,2,3,2,5,0,"Bénéfice: moins de pollution, aider les autres à se déplacer
Contrainte: perte d'intimité","C'est pas une question, c'est une nécessité. Il faut une vie plus modeste certes mais la vie peut etre tout aussi belle autour de chez soi, une question de mode de vie.",Développement du principe d'entraide et de vie en communauté qui nous manque un peu et regression de ce culte de l'accumulation,"Je n'aime pas acheter des vêtements, j'ai deja ce qu'il faut, quitte à prendre des vetements autant les utiliser a fond.",Avoir moins de dechets a la maison avec tous les emballages c'est cool,"Perte d'une diversité mais redecouverte de saveurs culinaires oubliées. IL FAUT UN MODE DE VIE PLUS MODESTE, marre de me répéter...",Sur le principe c'est pas contraignant mais j'ai une mémoire de merde il va me falloir des années pour que cette habitude reste.,"La question est posee bizarrement, tu peux toujours baissé d'un degré que tu sois à 15 ou à 22! Mais dans mon cas oui, j'ai plutot chaud meme quand les autres ont froid.","J'espère en etre capable un jour, je fais tout pour diminuer ma conso de produits d'origine animal mais j'aime bcp cuisiner et manger de la viande de temps a autre... je compte continuer a diminuer et on verra mais c'est plus pour le bienetre animal que pour la planete pour ma part.",Je n'ai jamais utiliser un sèche linge.,22,4,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire",3,1,2,0,2,1,4,0,1,0,"moins de pollution, moins de GES, moins de dépenses","vacances moins bien, beaucoup moins de GES",la décroissance frère ,"moins de dépenses, moins de pollution, moins de GES, j'aime leboncoin","Moins de pollution plastique, trimballer ses pots en verre c'est lourd",vraiment facile en France,Y penser tous les soirs c'est bien chiant par contre,C'est bon tu mets un pull c'est réglé ,"Énorme réduction de la pollution et des GES
Mais : carnistes relous en société ",Déjà que je préfèrerais collectiviser les machines à laver... un sèche-linge c'est un luxe inutile et ça abîme le tissu,24,5,Principalement citadin,Avec un emploi
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",3,3,4,4,4,4,1,2,4,0,"bénéfices : passer le trajet en compagnie de quelqu'un, faire des rencontres, potentiellemnt partager les frais d'essence
contraintes : pas toujours facile de prendre des gens avec soi car contraintes de trajet et d'horaire, difficile de trouver quelqu'un en dernière minute","contrainte : ne pas pouvoir découvrir le monde de mes propres yeux
bénéfice : boycott de ce moyen de transport au très mauvais bilan carbone","bénéfice : ne pas engendrer de surconsommation, satisfaction d'utiliser du matériel d'occasion
contrainte : pas toujours facile à trouver, surtout si on est pressé",bénéfice ne pas participer à la société de consommation,bénéfice : ne pas jeter d'emballage direct dès qu'on rentre des courses,bénéfice : boycott des produits exotiques qui ont un lourd bilan carbone à l'importation,"bénéfice : sur la santé, sur la consommation électrique",bénéfice : réduction de la consommation électrique,"contrainte : me priver d'aliments que j'apprécie et consomme avec modération
bénef : boycott d'un système discutable sur de nombreux aspect (éthique, environnement",cela réduit la consommation électrique,20,4,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",3,0,4,4,3,3,0,0,5,0,Je choisi souvent mes trajets au dernier moment ce qui n'est pas compatible avec le covoiturage (en tant que conductrice) et j'ai besoin de mon véhicule personnel. ,Je n'ai pas encore eu l'occasion ni la nécessité dans un futur proche de prendre l'avion. ,Je n'emprunte plus mais avant j'empruntais des livres dans une bibliothèque et c'est contraignant quand elle se trouve loin du domicile ainsi que le temps de prêt qui peut être trop court. ,C'est une bonne idée mais pour les tailles standards. C'est plus compliqué pour les grandes tailles même en magasin spécialisé. ,"Je fais mes courses dans une grande surface, ce type de distribution est moins propice à ce type d'achat. De plus, je trouve les produits vracs moins hygiéniques mais c'est personnel. ",Par exemple j'achète des avocats à la place de légumes locaux car c'est plus facile à consommer que des légumes d'hiver avec de longue cuisson. ,"Par habitude, pour économiser de l'énergie ",par habitude,Je suis satisfaite de mon régime omnivore et ne souhaite pas changer. ,c'est une habitude,21,3,Principalement rural,Etudiant
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",3,4,1,0,2,3,3,1,3,2,"Beaucoup de choses à transporter dans la voiture, pouvoir partir n'importe quand","Ma famille habitant à l'étranger (impossible de ne pas prendre l'avion), le coût bcp moins élevé de prendre l'avion si on souhaite voyager à l'étranger ",peu fréquent donc en plus peut-être ne pas amortir le prix,"impacts environnemental et sociétal importants
possibilité de trouver des vêtements de très bonne qualité et un style particulier en seconde main",moins jeter de déchets non recyclables notamment) mais compliqué car on ne peut pas faire de courses à l'improviste ,"L'habitude de manger ces produits, le goût des aliments qui me rappelle la cuisine de mon pays",Il faut y penser tout le temps... charge mentale,pas trop de contraintes ,"Difficile parfois de trouver son bonheur, cela veut aussi dire en vacances à l'étranger de ne pas s'imprégner totalement de la culture
La nourriture est ce qui nous ramène à nos origines, nos souvenirs
Compliqué au niveau des carences aussi (j'en ai fait l'expérience)
Mais sinon cela permet de découvrir de nouveaux légumes et des nouvelles manières de cuisiner",cela ne me dérange pas de faire sécher à l'air libre au niveau contrainte de temps,21,3,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",3,3,1,4,1,2,3,4,1,0,Je n'ai pas besoin de voiture,L'envie de voyager,Prend moins de place et moins cher,J'achète peu de vêtements et préfère acheter du neuf,Mieux adapté à mes besoins,Je préfère respecter les saisons et les circuits courts,Consomme moins d'énergie donc moins de dépense,Je ne maîtrise pas le chauffage chez moi,Pas capable de changer mes habitudes alimentaires,Je n'ai pas de sèche linge,22,3,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",2,1,3,4,4,3,2,5,3,0,"Sachant que les déplacements en voiture sont source de gaz à effet de serre et qu'il est possible de réduire le nombre de voiture qui circulent par cette habitude je l'applique dès que possible. De plus sur de longs trajets avec péages notamment cela a aussi un intérêt économique puisque les frais sont partagés et le conducteur n'est pas seul (ce qui peut être important pour les trajets de nuit). Cependant cela nécessite de prévoir tout ses déplacements en avance, de ne pas décaler l'horaire prévu et cela ralonge le temps de trajet car il faut déposer et récupérer les personnes. De plus il est parfois compliqué de s'organiser niveau bagages. 
Finalement pour les petits trajets cette habitude est plus dure à mettre en place car ce ne sont pas toujours déplacements qui sont prévus en avance. 
Pour les déplacements travail domicile cette habitude à aussi l'inconvénient d'être peu souple pour les horaires (si on fini plus tôt on a pas envie d'attendre pour rentrer).","Ce choix est peu difficile car je ne pars jamais en vacances à l'étranger. Cependant j'applique cette habitude de manière non stricte, si j'ai besoin de prendre l'avion (que les autres alternatives sont trop contraignantes) je ne ferai mais ce ne sera pas dans un but strictement de loisir.","En plus des bénéfices pour le climat cette habitude est en premier lieu appliquée pour des raisons économiques. 
Cependant chercher le matériel à louer et aller le chercher peut prendre du temps.","Il faut passer beaucoup de temps à chercher les vêtements qui nous plaisent en seconde mains et cela représente une grosse perte de temps. Des lieux où trouver ces vêtements ne sont pas présents partout et l'on n'y trouve pas toujours ce que l'on veut et la recherche sur internet oblige à acheter sans essayer. 
De plus j'achète peu souvent de nouveaux vêtements et ne jette ceux que je possede lorsqu'ils sont en mauvais état.","Le vrac n'est pas disponible partout et certains produits sont très durs à trouver en vrac. De plus je ne pense jamais à pendre mes contenants avec moi quand je part faire les courses. Enfin le vrac peut revenir plus cher puisque il est souvent disponible seulement pour des produits bio. 
Cependant je suis effarée par la quantité de déchets provenant des emballages que peut produire un foyer mais je ne suis pas prête à fournir les efforts qui sont nécessaires aujourd'hui pour acheter tout en vrac. ","J'essaie de prendre des produits locaux mais je fais des execptions par habitude, sans vraiment m'en rendre compte sur le moment. 
Cela a un bénéfice évident pour le climat et ne demande que de changer ses habitudes alimentaires sur quelques produits. 
La provenance des produits transformés n'est pas toujours facile à trouver ni très claire sur les emballages ce qui est un frein.",Je ne sais pas si cela représente un gros impact sur le climat mais je pense à éteindre mes appareils. Cependant certains appareils mettent du temps à redémarrer ce qui est contraignant.,"Je suis très sensible au froid, même avec un pull et enroulée sous un plaid je grelotte, j'ai essayé mais si je fais une activité statique cela n'est pas possible pour moi.","J'ai été végétarienne pendant quelques années mais je préfère maintenant manger de la viande moins souvent mais en provenance de petit élevages locaux. 
La production de viande pollue mais réduire sa consommation et consommer de la viande de qualité et locale (avec en plus des animaux bien traités) est pour moi suffisant. De plus un régime végétal oblige à être vigilant face a certaines carences et représente une contrainte en société (bien que il est de plus en plus facile d'être végétarien)","Comme je ne vais pas mettre un sèche linge sur le palier de mon appartement, je n'en ai pas donc je ne m'en sert pas. De plus faire sécher son linge n'est pas très contraignant, on possède en général assez de linge pour tenir un jour de plus le temps que le linge sèche. Le sèche linge possède de nombreux désavantages dans son utilisation en plus de l'aspect écologique. 
De plus si on possède un logement plus grand, la place pour faire sécher le linge n'est pas un problème.",22,3,Principalement rural,Etudiant
